member_id,name,governorate,bloc,committee,gender,role,status,served_months,voting_number,photo,facebook,x,instagram,telegram,website,search_name
1,ابتسام هاشم عبد حسين الكحبة,كربلاء,ائتلاف دولة القانون,غير محدد,,member,active,48,1,,https://facebook.com/example,https://x.com/example,https://instagram.com/example,newss_iq,https://example.com,
2,ابراهيم نامس ياسين موسى,صلاح الدين,تحالف التفوق,غير محدد,,member,active,48,2,,,,,,,
3,احسان ثعبان عبدعلي كاظم الشبلاوي,النجف,ائتلاف الاعمار والتنمية,غير محدد,,member,active,48,3,,,,,,,
4,احلام رمضان فتاح اسماعيل,نينوى,اتحاد اهل نينوى,غير محدد,,member,active,48,4,,,,,,,
5,احمد حامد خلف غضا الجابري,بغداد,ائتلاف الاعمار والتنمية,غير محدد,,member,active,48,5,,,,,,,
6,احمد حمه رشيد احمد محمد,السليمانية,جماعة العدل الكوردستانية / العراق,غير محدد,,member,active,48,6,,,,,,,
7,احمد داغر جاسم كاظم الشبيبي,البصرة,ائتلاف الاعمار والتنمية,غير محدد,,member,active,48,7,,,,,,,
8,احمد رحيم ازرك لفتة الرديني,ديالى,حركة الصادقون,غير محدد,,member,active,48,8,,,,,,,
9,احمد رشيد خلف تركي السلماني,الأنبار,الانبار هويتنا,غير محدد,,member,active,48,9,,,,,,,
10,احمد سالم عزيز حمد الساعدي,بغداد,تحالف قوى الدولة الوطنية,غير محدد,,member,active,48,10,,,,,,,
11,احمد سليم عبدالرحمن علي الاحمدي,بغداد,ائتلاف دولة القانون,غير محدد,,member,active,48,11,,,,,,,
12,احمد شهيد مرهون عباس الكرعاوي,بغداد,ابشر يا عراق,غير محدد,,member,active,48,12,,,,,,,
13,احمد عبد حمادي شاووش المساري,بغداد,حزب تقدم,غير محدد,,member,active,48,13,,,,,,,
14,احمد علي عبود واجد الاسدي,كربلاء,حركة الصادقون,غير محدد,,member,active,48,14,,,,,,,
15,احمد كامل منكاش زعزاع الفرحاني,القادسية,ائتلاف الاعمار والتنمية,غير محدد,,member,active,48,15,,,,,,,
16,احمد كاين عبدنور محي الخزاعي,النجف,حركة الصادقون,غير محدد,,member,active,48,16,,,,,,,
17,احمد كريم حسين كاظم الدلفي,واسط,ائتلاف الاعمار والتنمية,غير محدد,,member,active,48,17,,,,,,,
